Current (A),Voltage (V),Power (W)
0.01,0.527,0.00527
0.02,0.526,0.01052
0.03,0.526,0.01578
0.04,0.526,0.02104
0.06,0.528,0.03168
0.08,0.524,0.04192
0.09,0.522,0.04698
0.11,0.518,0.05698
0.16,0.505,0.0808
0.2,0.499,0.0998
0.26,0.48,0.1248
0.3,0.467,0.1401
0.35,0.453,0.15855
0.4,0.437,0.1748
0.46,0.409,0.18814
0.5,0.357,0.1785
0.52,0.329,0.17108
