current,voltage
0.01,0.496
0.05,0.495
0.1,0.476
0.15,0.455
0.2,0.454
0.25,0.445
0.3,0.445
0.35,0.439
0.4,0.436
0.45,0.415
0.5,0.4
0.55,0.389
0.6,0.372
0.65,0.357
0.7,0.332
0.75,0.308
0.8,0.311
0.71,0.319
0.72,0.323
0.73,0.323
0.74,0.32
