current,voltage
0.01,0.508
0.05,0.503
0.1,0.487
0.15,0.477
0.2,0.469
0.25,0.469
0.3,0.46
0.35,0.447
0.4,0.429
0.45,0.42
0.5,0.403
0.55,0.38
0.6,0.352
0.65,0.33
0.7,0.31
0.75,0.295
0.78,0.235
0.71,0.306
0.72,0.306
0.73,0.299
0.74,0.299
