current,voltage
0.01,0.526
0.02,0.523
0.03,0.517
0.04,0.518
0.06,0.516
0.08,0.514
0.09,0.511
0.11,0.501
0.16,0.488
0.2,0.474
0.26,0.463
0.3,0.448
0.35,0.437
0.4,0.423
0.46,0.406
0.5,0.386
0.55,0.36
0.6,0.333
0.61,0.335
0.62,0.317
0.65,0.293
0.66,0.26
0.67,0.151
0.68,0.154
